Name,Review Date,Airline,Verified,Type of Traveller,Month Flown,Route,Class,Seat Comfort,Staff Service,Food & Beverages,Inflight Entertainment,Value For Money,Overall Rating,Recommended
Alison Soetantyo,3/1/2024,Singapore Airlines,TRUE,Solo Leisure,23-Dec,Jakarta to Singapore,Business Class,4,4,4,4,4,9,yes
Robert Watson,2/21/2024,Singapore Airlines,TRUE,Solo Leisure,24-Feb,Phuket to Singapore,Economy Class,5,3,4,4,1,3,no
S Han,2/20/2024,Singapore Airlines,TRUE,Family Leisure,24-Feb,Siem Reap to Singapore,Economy Class,1,5,2,1,5,10,yes
D Laynes,2/19/2024,Singapore Airlines,TRUE,Solo Leisure,24-Feb,Singapore to London Heathrow,Economy Class,5,5,5,5,5,10,yes
A Othman ,2/19/2024,Singapore Airlines,TRUE,Family Leisure,24-Feb,Singapore to Phnom Penh,Economy Class,5,5,5,5,5,10,yes
Robert Watson,2/19/2024,Singapore Airlines,TRUE,Solo Leisure,24-Feb,Singapore to Cairns,Economy Class,5,1,5,5,1,3,no
S Holger,2/19/2024,Singapore Airlines,TRUE,Solo Leisure,24-Feb,Singapore to Frankfurt,Economy Class,1,3,1,2,2,5,no
A Jabil,2/19/2024,Singapore Airlines,TRUE,Family Leisure,24-Feb,Singapore to Bandar Seri Begawan,Economy Class,2,5,3,4,5,10,yes
A Kalarsan,2/18/2024,Singapore Airlines,TRUE,Business,24-Feb,Singapore to Jakarta,Economy Class,5,4,5,5,3,4,no
S Dayle,2/17/2024,Singapore Airlines,TRUE,Family Leisure,24-Feb,Siem Reap to Singapore,Economy Class,4,5,4,3,5,10,yes
J Hassin,2/17/2024,Singapore Airlines,TRUE,Solo Leisure,24-Feb,Bandar Seri Begawan to Singapore,Economy Class,5,5,5,5,5,10,yes
N Allen,2/16/2024,Singapore Airlines,TRUE,Family Leisure,24-Feb,Singapore to Phnom Penh,Economy Class,5,5,5,5,4,10,yes
N Allen,2/16/2024,Singapore Airlines,TRUE,Solo Leisure,24-Feb,London Heathrow to Singapore,Economy Class,4,5,5,5,5,10,yes
L Hee,2/16/2024,Singapore Airlines,TRUE,Solo Leisure,24-Jan,Singapore to Tokyo Haneda,Business Class,5,1,5,5,3,2,yes
Jason Keh,2/9/2024,Singapore Airlines,FALSE,Family Leisure,24-Feb,Singapore to Hong Kong,Business Class,1,5,4,5,5,10,yes
C Harmon,2/1/2024,Singapore Airlines,TRUE,Solo Leisure,24-Jan,Perth to Hong Kong via Singapore,Business Class,5,4,5,4,4,8,yes
Niki Kladis,1/29/2024,Singapore Airlines,TRUE,Solo Leisure,23-Dec,Sydney to Istanbul via Singapore,Business Class,4,5,4,5,3,2,no
E Darlon,1/25/2024,Singapore Airlines,TRUE,Solo Leisure,24-Jan,Milan to Bangkok via Singapore,Economy Class,4,5,5,5,5,10,yes
B Morrison,1/19/2024,Singapore Airlines,TRUE,Solo Leisure,23-Nov,London to Manila via Singapore,Economy Class,5,1,5,5,5,10,yes
H Paran,1/18/2024,Singapore Airlines,TRUE,Couple Leisure,24-Jan,Singapore to Melbourne,Economy Class,1,1,1,1,1,2,no
